sample,file,mse,mae,rmse,relative_l2,r2
21,Training dataset/3/Photothermal5_Data1_13_pw13.mat,275508016.5991119,10078.054097498363,16598.434161062058,0.5082414558815983,0.7407276811599552
22,Training dataset/7/Photothermal2_Data1_ax5_06_pw6.mat,68622578.69420238,5719.54114516085,8283.874618450136,0.5949943691355567,0.6289145305315089
23,Training dataset/10/Photothermal2_Data1_plain_01_pw1.mat,34784204538.23805,53147.83268424089,186505.23997528342,0.32617847816230633,0.8934637574642061
24,Training dataset/4/Photothermal_Data1_04_pw4.mat,203756993.5786909,9985.373567854525,14274.347395894878,0.7662790116009982,0.40959828713805435
25,Training dataset/10/Photothermal4_Data1_plain_16_pw16.mat,34014704307.95323,101035.2410831462,184430.7574889645,0.20645814292678918,0.9548697553707582
26,Training dataset/6/Photothermal_Data1_ax5_06_pw6.mat,7276016.156625353,1585.4905335422904,2697.4091563248894,0.40214413850232916,0.8340705471874601
27,Training dataset/5/Photothermal_Data1_ax5_07_pw7.mat,2078059.0564762156,664.7772315622661,1441.5474520376413,0.5145431131795576,0.7336180436458026
28,Training dataset/1/Irregular_3_Chirp_1_0.05.mat,16153618.638394022,1779.0860031889347,4019.1564585611773,0.3228278711349152,0.8950901427452053
29,Training dataset/3/Photothermal3_Data1_15_pw15.mat,30082078359.074223,73410.14212373106,173441.8587281462,0.2571998306210958,0.9321883504458842
30,Training dataset/7/Photothermal5_Data1_ax5_11_pw11.mat,42953311.65985169,3479.8928887537427,6553.877604887941,0.5238009470773428,0.7066424996393157
31,Training dataset/4/Photothermal4_Data1_01_pw1.mat,18970854336.16465,70552.2999393693,137734.72451115822,0.22668029162304737,0.9485384644202639
32,Training dataset/4/Photothermal4_Data1_16_pw16.mat,29928141425.610615,94587.31432401798,172997.51855333248,0.17706988329256237,0.9667360318548445
33,Training dataset/10/Photothermal3_Data1_plain_04_pw4.mat,98628366.84994932,4843.469902187812,9931.181543499712,0.4274545501330833,0.8168355845741491
34,Training dataset/4/Photothermal_Data1_06_pw6.mat,293857325.4370935,11533.959370633733,17142.267219860198,0.4121049226789024,0.8286994543889364
35,Training dataset/10/Photothermal2_Data1_plain_15_pw15.mat,55611080277.18667,90666.18331857769,235820.0167016928,0.33878582264739376,0.8825309334637481
36,Training dataset/9/Photothermal_Data1_plain_07_pw7.mat,9927108.280379836,1316.4450721408746,3150.7313881668547,0.29041813812549133,0.9153401390781052
37,Training dataset/4/Photothermal3_Data1_09_pw9.mat,653431025.3905258,19501.06527127386,25562.29695059749,0.49684940565690455,0.7500339430305338
38,Training dataset/2/PT_77.mat,148640693.95992535,5455.821651998737,12191.82898337757,0.4590765979094349,0.788721648410988
39,Training dataset/10/Photothermal_Data1_plain_16_pw16.mat,31312937377.336506,75386.5778103461,176954.6195422332,0.2023206233157368,0.956523345246477
40,Training dataset/9/Photothermal4_Data1_plain_14_pw14.mat,13071474237.786707,78174.85577398913,114330.54813909845,0.26731457403448233,0.9280809493703271
41,Training dataset/4/Photothermal3_Data1_13_pw13.mat,390598650.3891634,15603.555580879258,19763.568766525023,0.7519577494086244,0.4294760181679932
42,Training dataset/9/Photothermal_Data1_plain_01_pw1.mat,5143943283.812998,26911.38734443223,71721.28891628342,0.22475420690307346,0.9494035086037583
43,Training dataset/8/Photothermal_Data1_ax5_11_pw11.mat,8101967.489187125,1377.4426606747443,2846.395525781181,0.36916204169469535,0.8581106664149658
44,Training dataset/2/PT_11.mat,110390926.08546765,4135.742268889954,10506.708622849863,0.4569738132363957,0.7906639819523708
