sample,file,mse,mae,rmse,relative_l2,r2
14,Training dataset/1/Irregular_4_Chirp_4_0.2.mat,50533133.07382888,4075.0814238807543,7108.666054459787,0.26000256927105597,0.9281670322024699
15,Training dataset/9/Photothermal2_Data1_plain_02_pw2.mat,21064276.800946534,2402.1047159684535,4589.583510619077,0.28901633695867374,0.9151229312259638
16,Training dataset/2/PT_49.mat,12338816.048283702,1945.9893468921532,3512.6650919613303,0.20090114474598142,0.9590249779470923
17,Training dataset/7/Photothermal3_Data1_ax5_16_pw16.mat,171450907420.1452,292677.04581064434,414066.30799926864,0.4918951267519654,0.7354863747126013
18,Training dataset/4/Photothermal5_Data1_03_pw3.mat,778517641.3984437,21834.338813223163,27901.928990635104,0.5763614465227651,0.664713412167012
19,Training dataset/7/Photothermal_Data1_ax5_10_pw10.mat,19635369.374103244,1679.4088631233626,4431.181487380453,0.5949544878075647,0.6445793176356873
20,Training dataset/8/Photothermal2_Data1_ax5_04_pw4.mat,6031597.498306077,1172.8549436283683,2455.9310858218473,0.579479233026634,0.664129124176249
21,Training dataset/3/Photothermal5_Data1_13_pw13.mat,57067986.15591592,4933.325905123347,7554.335586662531,0.23131257319382387,0.9462950324102345
22,Training dataset/7/Photothermal2_Data1_ax5_06_pw6.mat,41322014.280412205,4221.398013182619,6428.220148720188,0.46171085008138774,0.7765458634691913
23,Training dataset/10/Photothermal2_Data1_plain_01_pw1.mat,5749340197.262974,26439.986127305936,75824.40370529117,0.13260908171499022,0.9823910562334963
24,Training dataset/4/Photothermal_Data1_04_pw4.mat,87398335.8438123,6935.7269665064405,9348.707709828792,0.5018596160616376,0.7467565344521909
25,Training dataset/10/Photothermal4_Data1_plain_16_pw16.mat,32774032424.086586,82928.6609591949,181035.99759187835,0.20265793176040237,0.9565158618638971
26,Training dataset/6/Photothermal_Data1_ax5_06_pw6.mat,3739742.2450350886,1256.329830017699,1933.8413184734388,0.28830737420542857,0.9147152272588661
27,Training dataset/5/Photothermal_Data1_ax5_07_pw7.mat,1055477.6680812675,543.1302035967128,1027.3644280785993,0.3667054389685778,0.8647005698729178
28,Training dataset/1/Irregular_3_Chirp_1_0.05.mat,8412611.02619836,1423.225954906593,2900.4501419949215,0.23297081224063296,0.9453642034236902
29,Training dataset/3/Photothermal3_Data1_15_pw15.mat,19902203853.195404,49828.566970093016,141075.1709309452,0.20920272842067378,0.9551360362492921
30,Training dataset/7/Photothermal5_Data1_ax5_11_pw11.mat,41764546.6700849,3148.454903162425,6462.5495487527905,0.5165017991251982,0.7147613876234578
31,Training dataset/4/Photothermal4_Data1_01_pw1.mat,19140469103.834778,67310.2155351309,138349.08421755012,0.22769138913604287,0.9480783567073148
32,Training dataset/4/Photothermal4_Data1_16_pw16.mat,35166929239.21843,98393.38864422523,187528.47580892462,0.19194289954674473,0.9609133224365457
33,Training dataset/10/Photothermal3_Data1_plain_04_pw4.mat,9971485.32979138,1812.4442489435191,3157.765876342225,0.13591548862390468,0.9814817852136054
