sample,file,mse,mae,rmse,relative_l2,r2
58,Training dataset/7/Photothermal5_Data1_ax5_09_pw9.mat,174852984.99661544,7366.3784538637565,13223.198742990118,0.8022404003572685,0.29888339974745515
59,Training dataset/6/Photothermal4_Data1_ax5_06_pw6.mat,36864313.287175715,3089.6782997871446,6071.598906974646,0.8362264129491872,0.2816315124952089
60,Training dataset/2/PT_98.mat,254149069.9726068,7634.460308367639,15942.05350551198,0.7061115636591787,0.48700846304521317
61,Training dataset/2/PT_80.mat,756440493.8826082,12944.351044376092,27503.46330705659,0.8740127442097039,0.23322247981906508
62,Training dataset/10/Photothermal2_Data1_plain_16_pw16.mat,54113090205.76959,102089.63454224364,232622.2048854528,0.2642477141080028,0.925933611221225
63,Training dataset/1/Irregular_2_Chirp_1_0.2.mat,186688062.85401735,4485.564259420612,13663.384019122692,0.8779204840794773,0.2172876879055341
64,Training dataset/1/Irregular_2_Chirp_2_0.1.mat,106616086.79722975,3207.536931771223,10325.50661213433,0.7606810972604271,0.4145390443049314
65,Training dataset/5/Photothermal4_Data1_ax5_01_pw1.mat,8274388096.0411625,60475.057446688654,90963.66360278791,0.696891733869378,0.5027011826933864
66,Training dataset/7/Photothermal4_Data1_ax5_13_pw13.mat,43128115.835935585,3209.22762278178,6567.1999996905515,0.7777747922202176,0.39484346942587534
67,Training dataset/10/Photothermal2_Data1_plain_10_pw10.mat,415079617.1486744,10012.891416639377,20373.50281980677,0.7411864142677161,0.4492086477395615
68,Training dataset/6/Photothermal_Data1_ax5_15_pw15.mat,30362904878.393425,108215.12612175064,174249.5477135979,0.6409963978874369,0.5842145862476246
69,Training dataset/9/Photothermal4_Data1_plain_07_pw7.mat,13653993.980965886,1658.4821306995384,3695.1311182373333,0.34180329158626854,0.8826257383344769
70,Training dataset/8/Photothermal5_Data1_ax5_05_pw5.mat,14694145.99390546,1755.9906243567552,3833.2944048044965,0.8856453782476691,0.18715241003246852
71,Training dataset/10/Photothermal3_Data1_plain_09_pw9.mat,210902743.1250204,9773.158692380863,14522.490940779424,0.5027959345347807,0.7368547115908286
72,Training dataset/9/Photothermal4_Data1_plain_03_pw3.mat,120085949.5616413,5456.782046142091,10958.373490698394,0.5232829691925369,0.7160953882658133
73,Training dataset/10/Photothermal5_Data1_plain_15_pw15.mat,28653596191.22467,72382.1530844171,169273.73154516524,0.24431762903656173,0.9389157535871115
74,Training dataset/2/PT_89.mat,151682156.21488404,4813.429212210345,12315.930992616191,0.7204669082246842,0.4727201907525207
75,Training dataset/3/Photothermal2_Data1_11_pw11.mat,377550815.88551867,12217.692219827923,19430.666892454276,0.520233207857505,0.7263143088127859
76,Training dataset/3/Photothermal4_Data1_10_pw10.mat,648382584.2316699,12051.384014139689,25463.357677880384,0.9302700387958437,0.1322960382821431
77,Training dataset/9/Photothermal4_Data1_plain_08_pw8.mat,83650540.38782457,4169.207482992998,9146.066935455074,0.5171548910552113,0.7274606605414922
78,Training dataset/1/Irregular_1_PT_0.2.mat,30501289313.50557,87355.9380663088,174646.183220549,0.3991534945453567,0.8391886412432858
79,Training dataset/10/Photothermal4_Data1_plain_03_pw3.mat,174374420.56756607,8151.755087188903,13205.090706525498,0.5046383361686109,0.7373378047352563
80,Training dataset/8/Photothermal2_Data1_ax5_15_pw15.mat,52952346091.82116,171041.08764523687,230113.76771462668,0.680924793750957,0.5228232534117474
