sample,file,mse,mae,rmse,relative_l2,r2
40,Training dataset/9/Photothermal4_Data1_plain_14_pw14.mat,5724061120.256884,41059.26792185331,75657.52520573801,0.17689374780164063,0.9685063034948275
41,Training dataset/4/Photothermal3_Data1_13_pw13.mat,132237740.79727292,8814.67671466623,11499.466978833103,0.43752792604855384,0.8068482795018999
42,Training dataset/9/Photothermal_Data1_plain_01_pw1.mat,8787286959.243721,26457.49757637906,93740.52997099879,0.2937562727809195,0.913567108686637
43,Training dataset/8/Photothermal_Data1_ax5_11_pw11.mat,6196009.291610512,1329.9190254262273,2489.1784370772843,0.3228329272722306,0.8914896113998934
44,Training dataset/2/PT_11.mat,63563077.72192949,3353.4930008068955,7972.645591140339,0.3467584717582325,0.8794643561883182
45,Training dataset/1/Chirp_3_0.05.mat,15830107.946512628,1826.3885425333908,3978.7068183660667,0.28326760710051135,0.9192892933710302
46,Training dataset/3/Photothermal4_Data1_13_pw13.mat,159941969.7327467,8028.17101324834,12646.8165849255,0.3930009622890191,0.844962824711063
47,Training dataset/7/Photothermal4_Data1_ax5_12_pw12.mat,85474179.37188628,6389.489998859429,9245.224679362113,0.42738142093244796,0.7970246736499994
48,Training dataset/5/Photothermal5_Data1_ax5_12_pw12.mat,17993764.050435323,2589.974607040446,4241.905709753026,0.3895084784196874,0.8313328479226841
49,Training dataset/2/PT_82.mat,279393467705.9783,146021.42156198042,528576.8323583415,0.8205690105108782,0.31194241178019977
50,Training dataset/5/Photothermal3_Data1_ax5_14_pw14.mat,1270531595.0625815,24479.390173155596,35644.51704066955,0.18919185880198425,0.9630734135956273
51,Training dataset/9/Photothermal_Data1_plain_04_pw4.mat,12281697.59500974,1513.9961098966573,3504.5253023783034,0.2796446825059357,0.921409262971684
52,Training dataset/8/Photothermal_Data1_ax5_15_pw15.mat,1595780171.7865589,28123.67318503418,39947.21732219353,0.13318608943213855,0.9815992258210324
53,Training dataset/8/Photothermal3_Data1_ax5_10_pw10.mat,5940280.825439717,1061.4324106062086,2437.2691327466723,0.6092710406853848,0.6213118364639876
54,Training dataset/9/Photothermal2_Data1_plain_14_pw14.mat,30809893690.284508,78638.25031460224,175527.47275080477,0.400894439918809,0.8377898325564628
55,Training dataset/2/PT_56.mat,40750955.7809843,3473.8143669158567,6383.647529507272,0.26156248589603687,0.9281564736755996
56,Training dataset/7/Photothermal2_Data1_ax5_15_pw15.mat,100911611197.14464,226166.7193896426,317665.87981264945,0.5323932443792474,0.708216158008705
57,Training dataset/1/Irregular_1_PT_1.mat,61159382645.582275,156403.68381558367,247304.23094961856,0.28587063649627276,0.9133206168646743
58,Training dataset/7/Photothermal5_Data1_ax5_09_pw9.mat,46973566.04896787,4301.6944142019165,6853.726435229806,0.41580984722957937,0.8116477848835018
59,Training dataset/6/Photothermal4_Data1_ax5_06_pw6.mat,11310942.633363113,2195.354448925083,3363.174487498844,0.4632017705617388,0.7795856159974864
60,Training dataset/2/PT_98.mat,34213372.26105549,3573.2160801689115,5849.2197993455065,0.2590758922682881,0.9309414337409281
61,Training dataset/2/PT_80.mat,123615992.56021683,6233.078981130562,11118.272912652254,0.3533195806688776,0.8746947538571108
62,Training dataset/10/Photothermal2_Data1_plain_16_pw16.mat,101692638832.29707,110330.97274307167,318892.8328330649,0.36224702674690895,0.8608098985533977
63,Training dataset/1/Irregular_2_Chirp_1_0.2.mat,233056405.52997693,4902.645228665179,15266.185035233162,0.9809060855898883,0.022882799349149607
64,Training dataset/1/Irregular_2_Chirp_2_0.1.mat,11582363.68683604,1653.6204317883692,3403.287188415935,0.25072050455969375,0.9363977623971779
65,Training dataset/5/Photothermal4_Data1_ax5_01_pw1.mat,1012245694.1726177,21671.97066317663,31815.808871889738,0.24374759461852905,0.9391630438505991
66,Training dataset/7/Photothermal4_Data1_ax5_13_pw13.mat,17654115.300863404,2509.777818196196,4201.6800569371535,0.4976185913134346,0.7522844941400095
67,Training dataset/10/Photothermal2_Data1_plain_10_pw10.mat,164400636.0786743,6988.186768387681,12821.881144304618,0.4664590142949793,0.7818480030746829
68,Training dataset/6/Photothermal_Data1_ax5_15_pw15.mat,5405241640.879916,42385.8417000242,73520.3484817633,0.2704528028789532,0.925981369578491
69,Training dataset/9/Photothermal4_Data1_plain_07_pw7.mat,8514506.489031235,1409.2073489172878,2917.9627292052987,0.2699144455955613,0.9268064774930105
70,Training dataset/8/Photothermal5_Data1_ax5_05_pw5.mat,3276019.294163905,1082.4098488410991,1809.9777054328335,0.41817774230858723,0.8187778707990281
71,Training dataset/10/Photothermal3_Data1_plain_09_pw9.mat,100930376.57060401,5865.6782789556255,10046.411128885977,0.3478256372132916,0.8740682432232468
72,Training dataset/9/Photothermal4_Data1_plain_03_pw3.mat,26541557.506632518,3397.4387595046346,5151.849911112757,0.2460105344315815,0.9372510222427265
73,Training dataset/10/Photothermal5_Data1_plain_15_pw15.mat,52548368881.848656,72692.17728970436,229234.31000146695,0.3308604508007197,0.8879764517726707
74,Training dataset/2/PT_89.mat,17616688.115393467,2208.3150861814465,4197.2238581464135,0.2455324646945764,0.938760602111054
75,Training dataset/3/Photothermal2_Data1_11_pw11.mat,450546564.530116,13071.009287756895,21226.08217571288,0.5683033324021134,0.6733998684270246
76,Training dataset/3/Photothermal4_Data1_10_pw10.mat,79228068.73745537,5155.868450511031,8901.015039727512,0.32518679111493093,0.8939723085674818
77,Training dataset/9/Photothermal4_Data1_plain_08_pw8.mat,16787928.81268257,2525.1018555779847,4097.30750770339,0.2316780130102694,0.9453037482756281
78,Training dataset/1/Irregular_1_PT_0.2.mat,25222805029.544212,61402.307379938116,158816.89151203097,0.36297568105560446,0.8670182917949885
79,Training dataset/10/Photothermal4_Data1_plain_03_pw3.mat,53947784.96898756,4271.683171783969,7344.9155862397465,0.280689172008958,0.918737831265627
80,Training dataset/8/Photothermal2_Data1_ax5_15_pw15.mat,2821280691.6778045,37128.96195992347,53115.72923040598,0.15717363346326457,0.9745762059336395
