sample,file,mse,mae,rmse,relative_l2,r2
20,Training dataset/8/Photothermal2_Data1_ax5_04_pw4.mat,11584609.735495778,1832.4228060751002,3403.6171546599917,0.8030866397363194,0.3549083871796289
21,Training dataset/3/Photothermal5_Data1_13_pw13.mat,297925074.768136,10831.646842620406,17260.50621413335,0.5285139944672003,0.7196316654778012
22,Training dataset/7/Photothermal2_Data1_ax5_06_pw6.mat,61482127.42519574,5535.528573968327,7841.053974128461,0.5631885061114315,0.6675274430669312
23,Training dataset/10/Photothermal2_Data1_plain_01_pw1.mat,24414527239.899776,52393.53242687962,156251.487160602,0.27326777690129056,0.925223760853625
24,Training dataset/4/Photothermal_Data1_04_pw4.mat,130120287.02620414,8294.071782830311,11407.027966398791,0.6123548644986674,0.6229663676430222
25,Training dataset/10/Photothermal4_Data1_plain_16_pw16.mat,31588801794.90841,100254.79538749822,177732.38814270293,0.19895975756060302,0.9580884096543347
26,Training dataset/6/Photothermal_Data1_ax5_06_pw6.mat,8003588.679855133,1969.2815929897074,2829.0614485823976,0.4217715687922564,0.8174782613062135
27,Training dataset/5/Photothermal_Data1_ax5_07_pw7.mat,8758802.10298979,1935.7482495752981,2959.527344524762,1.0563678770168698,-0.12277216484108577
28,Training dataset/1/Irregular_3_Chirp_1_0.05.mat,42370518.449396156,3240.8026383083106,6509.264048215909,0.5228390275983668,0.7248241933574104
29,Training dataset/3/Photothermal3_Data1_15_pw15.mat,94610899108.50304,112945.62593599268,307588.8475034539,0.4561286419485181,0.7867261345053963
30,Training dataset/7/Photothermal5_Data1_ax5_11_pw11.mat,49282261.299773596,4119.923769066301,7020.13256995718,0.5610651152061932,0.6634177793472021
31,Training dataset/4/Photothermal4_Data1_01_pw1.mat,56308025624.08841,115527.06623919246,237293.121737838,0.3905309589000379,0.8472552994805895
32,Training dataset/4/Photothermal4_Data1_16_pw16.mat,191182544868.85843,207295.90692692556,437244.26224806934,0.4475370001026957,0.78750801828408
33,Training dataset/10/Photothermal3_Data1_plain_04_pw4.mat,71989871.71077667,4704.592881954041,8484.684538082525,0.3651949145688076,0.8663063876771662
34,Training dataset/4/Photothermal_Data1_06_pw6.mat,160223942.27177438,9328.539306504052,12657.959640944286,0.3043009053127166,0.9065994077525368
35,Training dataset/10/Photothermal2_Data1_plain_15_pw15.mat,41622234963.62909,78378.31720661874,204015.28120125976,0.29309422423268683,0.9120800196530355
36,Training dataset/9/Photothermal_Data1_plain_07_pw7.mat,22351848.69799979,2509.9048867460233,4727.774180097838,0.43578179930567323,0.8093800934032197
37,Training dataset/4/Photothermal3_Data1_09_pw9.mat,511661631.8920242,17420.973505723923,22619.93881273829,0.4396593591166091,0.8042669629854102
38,Training dataset/2/PT_77.mat,267064253.67530322,7864.54872113129,16342.100650629442,0.6153527832379848,0.6203940342550054
39,Training dataset/10/Photothermal_Data1_plain_16_pw16.mat,8485492703.817888,41383.28294592119,92116.73411393767,0.10532143811741487,0.9882182616683591
40,Training dataset/9/Photothermal4_Data1_plain_14_pw14.mat,12215094201.743082,59501.9703378425,110521.91729129151,0.25840967056105535,0.9327927390204869
41,Training dataset/4/Photothermal3_Data1_13_pw13.mat,204516922.98924494,11452.599425060847,14300.941332277569,0.5441174980693215,0.7012744220508889
42,Training dataset/9/Photothermal_Data1_plain_01_pw1.mat,11174435507.483568,27839.68125532943,105709.20256762685,0.331262703064686,0.8900868067486399
43,Training dataset/8/Photothermal_Data1_ax5_11_pw11.mat,9068325.626444949,1876.713331145003,3011.3660731377295,0.39055782823702473,0.8411868847565791
44,Training dataset/2/PT_11.mat,209234245.64210337,6122.7112202967755,14464.931580968621,0.6291308840666341,0.6032258756214782
45,Training dataset/1/Chirp_3_0.05.mat,55120369.69201382,3261.606782067474,7424.309374750881,0.5285803772350436,0.7189656569289185
46,Training dataset/3/Photothermal4_Data1_13_pw13.mat,220264282.07493538,9599.9977116161,14841.303247186057,0.461194832596809,0.7864903616792718
47,Training dataset/7/Photothermal4_Data1_ax5_12_pw12.mat,117011625.39559834,7556.251121987347,10817.191197145326,0.5000491285683833,0.7221327771035908
48,Training dataset/5/Photothermal5_Data1_ax5_12_pw12.mat,27381038.109388173,3534.4157404135717,5232.689376352104,0.48048613441349663,0.7433398756432383
49,Training dataset/2/PT_82.mat,283300884648.1356,149273.7386132516,532260.1663173148,0.8262870623002664,0.30231968187364644
50,Training dataset/5/Photothermal3_Data1_ax5_14_pw14.mat,6725221110.317537,59628.47414012778,82007.44545660191,0.4352742673953036,0.8045389352112728
51,Training dataset/9/Photothermal_Data1_plain_04_pw4.mat,24229557.827754218,2619.589314099228,4922.35287517608,0.39278067304197883,0.8449547554136878
52,Training dataset/8/Photothermal_Data1_ax5_15_pw15.mat,11388611699.513622,77530.11077563332,106717.43859142058,0.3558014618532442,0.8686791101934265
53,Training dataset/8/Photothermal3_Data1_ax5_10_pw10.mat,11962390.912449084,1772.905205827311,3458.6689509765292,0.8646016161427857,0.2374071227853266
